Username,Username_Rating,Username_Review,Username_Verified,Username_Usefulness,Username_Date
Jim Taylorville,3.0 out of 5 stars,"The Bar is HIGH when a consumer is spending $400.00 for a pair of Cans. (headphones to some) While the sound quality is GREAT, Sony falls flat on their face with their current adaptation of what at least some of us require. Voice Prompts is one requirement. Pressing the NC/AMB button brings you back to the 1980's Gong Show. One gong equals this, two gongs, something else. Any Questions? Yes, how about a voice prompt reminding me what mode I am in like the $50.00 USD in-ear headphones I purchased and tried out! Hold On, the 5's have Quick Access Buttons that YOU can set up. Great, let's go there. It's a quick trip as a grand total of ONE selection is available! TWO different taps available, only one selection available, weeks after formal introduction of the cans, months since prerelease units available to early testers. I paid for mine, a more complete product would have been appreciated. We are an Alexa house, Alexa car, Alexa office, Alexa cell phone, well, you get the idea. Alexa integration with the 5's, while it works, is basic and needs work. When you ask Big A for example what time is it, the 5's mute the music as it should, yet another A device within earshot gives you the time, and then the 5's never resume playing your music you had playing until you ask Big A to do so. It should operate similar to the speak to text function. While hoping for some software updates (was a big one yesterday) I know I only have 29 days left for free return. Keep in mind these cans are NOT audiophile purist cans. They can't be. While they do have a aux input via wire, they are even lacking digital input, another somewhat big omission for their cost, their audience is a mobile, noisy environment one. Hopefully that audience will be addressed better.",Verified Purchase,,"Reviewed in the United States on June 3, 2022"
Maksim,3.0 out of 5 stars,"If you're going to be wearing these headphones for many hours, then this is a bad choice. After 1 hour of work, the head and ears begin to hurt.",Verified Purchase,,"Reviewed in the United States on February 11, 2023"
rbrcurtis,4.0 out of 5 stars,"Slightly tighter than expected and the padding isn’t great resulting in a bit of discomfort that I’ve gotten used to after a few weeks. Aside from that the only problem is that Bluetooth connection can be unreliable; I have to reconnect to my Mac periodically because the mic stops being recognized or other similar BT problems.
Aside from those issues, I really like them. I love the touch controls, the NC is great, the sound quality is quite good and the battery lasts for a long time. I also love how customizable they are via the app; you can turn off or customize many features.",Verified Purchase,,"Reviewed in the United States on August 3, 2022"
Arya,3.0 out of 5 stars,"The sound quality is among the beat I’ve tried. there are 2 issues though, it is extremely uncomfortable on my head which is normal to large I would say and the LDAC bitrate mode selection is not remembered by the device so after each reconnection it is reset to the default mode (which is balanced mode: between speed and quality). regarding the fit, it press way to hard against the skull part and I can’t stand having it on my head for more than 15 minutes. it sucks, I really wanted it to work.",Verified Purchase,,"Reviewed in the United States on January 5, 2023"
James B.,1.0 out of 5 stars,"I think the sound quality is great for music, as long as you do not touch the equalizer. If you try to boost the bass or try any of the presets, the sound is just wrong. It’s not like adjusting the equalizer on an amp on your car stereo or something. The equalizer makes things sound distorted. I have a pair of headphones that I bought for $25 two years ago. Comparing them with these $400 headphones, the Sony headphones are marginally better in sound, not phenomenally, amazingly better, just a slight improvement.
The supposedly automated functions are not automatic. When I answer a call, many times I have to select that the audio goes to my headphones, so the person calling just gets silence until I can switch it over manually. Not a big deal if these headphones cost $30, but at $400, when they brag about doing everything so smoothly, that is a big deal. The headphones do not switch automatically from my iPhone to my iPad. I have to go into settings, unpair the headphones from one device, then go into the settings on the other device and pair them. Again, I can do this, but it is very annoying that the headphones don’t do it automatically. When I was out walking and set the headphones for more transparency, because I walk on a neighborhood street with some light traffic, the headphones repeatedly turned on noise cancellation when I didn’t ask for that. Not only is that annoying, it is potentially dangerous if I can’t hear an electric car sneaking up on me.
After a few days of use, new problems are arising. The app just completely stopped working, so I had to delete it and download it again. It will still say the headphones don’t exist while I am listening to them. The headphones will shut themselves off for no reason.
As far as cancellation of background noise when you are making calls or voice memos, yes, it does remove background noise. However, my voice sounds very synthesized and unnatural. I find my voice very unpleasantly unnatural when listening to voice memos I’ve made.
Battery life seems very good. I believe their stated hours of use is probably right and certainly sufficient.
I would not say they are so comfortable that I could wear them all day. They are comfortable enough, but I definitely feel them. I have had other headphones that I completely forgot I had them on because they were light and soft. These headphones don’t give me a headache, but I wouldn’t go so far as to say they are the most comfortable headphones I have ever worn, which they ought to be at that price. Also, they get hot after a while. You certainly wouldn’t want to wear them on a hot day. You can’t use them outside on a rainy day or on a hot day. You can only use them outdoors on certain sunny, breezy, cool days, so basically they are useless outdoors for most of the year.
A relatively minor issue, but I don’t like the smell of them. They smell like plastic even after a couple of days.
I will probably return them if a software update doesn’t fix a lot of the problems. I don’t have an extra $400 to waste on a toy. I bought these headphones believing they would work as advertised and that I would be able to work better in noisy environments and be more productive. So far, that has definitely not been the case.
The software updated. It took forever. Now the headphones are worse. New problem, if I’m listening to the headphones on my iPhone, and also using my iPad, every time a search box appears on my iPad screen, the headphones, synced to my iPhone, shut off. How is that even possible. I couldn’t even dream up the ways these headphones fail.",Verified Purchase,46 people found this helpful,"Reviewed in the United States on May 23, 2022"
Lexus,4.0 out of 5 stars,"I bought them to use with my TV set. The sound cancellation and quality are superb. The battery life is really good too.
The only issue I have is that I can’t control the volume at will just like I used to be able with the previous version of these earphones. So sometimes is too loud.
Another issue is that the controls have a “touch” feature built right on the earpiece so you have to be careful not to touch them by mistake and change the settings. I have this issue quite often when I have to take them on and off when I have to shift my attention to something else",Verified Purchase,,"Reviewed in the United States on July 20, 2022"
Master King Joseph,5.0 out of 5 stars,"I think these headphones are incredible! They're lightweight, comfortable and I love the material!
The sound is great: crisp, smooth and pops!
I love the smart features of them pausing and playing depending on whether they're on or off your head. These are my first headphones where you can connect to 2 devices simultaneously and that's game changing for me.
Now for the things that I don't like. I don't like that you can't fold them. I don't know who thought that would be good be idea but I definitely hate that you can't.
Volume: I'm coming from the XB900N series. Those headphones are like about 3 years old. You can definitely tell that the volume from these are not on par with those. If the volume from the N series produced a level 100 volume than these are are around 90. Maybe it's a good thing so people won't hurt their hearing but I do wish they were a little louder.
Bass: I know the N series is supposed to produce superior bass but I feel like the bass on these on these are perhaps a tad low. The difference between those 2 is huge. For people who don't care about bass this will not be a big deal but if you love bass perhaps these are not the best for you.
Overall great headphones!",Verified Purchase,11 people found this helpful,"Reviewed in the United States on May 21, 2022"
Sabrina,5.0 out of 5 stars,"Sometime from someone who wears these for work and person they are great. It’s amazing you can connect to 2 devices.
Purchases for noise cancellation due to returning to workplace and anxiety..
I have raved to all my co workers about these",Verified Purchase,,"Reviewed in the United States on December 6, 2022"
William Schmidt,5.0 out of 5 stars,Beta noise cancelling and sound quality on a pair of headphones I’ve ever owned.,Verified Purchase,,"Reviewed in the United States on December 24, 2022"
Rob,5.0 out of 5 stars,"I was choosing between these and airpods pro max.
Twice ive tried the airpods at an apple store and best buy.
The quality was NOT worth $500.
These Sonys however, worth every penny!!
Noise cancellation is A1!
Eq mixer is A1
The weight!!! SO LIGHT
Touch controls not my fave. I like how the airpods max had a physical dial.
All in all these are definitely worth it!!",Verified Purchase,,"Reviewed in the United States on November 17, 2022"
Kerry White,5.0 out of 5 stars,"How do you perfect something that’s already perfect? Well Sony did just that with the XM5. The previous model was as perfect as they come but Sony really out did themselves this time! The new design is more modern although some people might like the old design better since they collapse. The build material feels a little cheap for the price compared to the Apple cans but are super light weight and comfortable. The case is much smaller and easy to fit into a backpack.
The noise cancellation is top notch! About the same or slightly better than Apple’s. I can’t hear a thing with these cans on. Blocks out most of everything!
Audio quality is slightly different from the previous version. These aren’t as bass heavy and has a more wider soundstage and just sound more balanced. They still have plenty of bass and Sony gives you option to adjust settings via the App.
Overall very happy with these headphones! I switch back and forth between my Sony and Apple headphones but I think these might just be slightly better than Apple and a little cheaper as well! Worth the buy!",Verified Purchase,,"Reviewed in the United States on July 6, 2022"
Jerry H.,5.0 out of 5 stars,"These have smaller driver than my last pair of Sony but bass is clear and punchy, I still max lower frequencies in Sony app. Wide dynamic sound good separation, great battery life, light and comfortable but I would enjoy deeper pads for my big ears but this would change sound signature, Like the EQ with LDAC
but aptX HD sounds really good on Shure 50 when EQ'ed can't compare to planers as planers are more laid back Really enjoy the XM5",Verified Purchase,,"Reviewed in the United States on November 9, 2022"
R. E. W.,5.0 out of 5 stars,"I've got those for my son, who is on computer almost all the time. He really likes them. Hopefully he will be able to clean them. Thank you.",Verified Purchase,,"Reviewed in the United States on December 12, 2022"
Amazon Customer,3.0 out of 5 stars,I choose this because not only is it a good product but it had next day shipping. Seller didn’t even ship it until two days AFTER it was supposed to be delivered. Then Amazon wouldn’t honor their refund date. I bought it here because I didn’t want to wait for Best Buy to order the headphones in. I should have because these took more than a week to get here. Great product just don’t buy from seller,Verified Purchase,One person found this helpful,"Reviewed in the United States on January 5, 2023"
stephanie,3.0 out of 5 stars,"If you have a medium to small sized head, I wouldn’t recommend buying this headphones set. It checked all the boxes in terms of sound quaility, noise cancellation, and volume control, but it would slide off my head from the littlest of movement. I’m a teenager, not a kid, so if you are looking to buy for a child, I would look into buying the Sony xm4‘s instead. I am exchanging them for xm4‘s.",Verified Purchase,,"Reviewed in the United States on January 3, 2023"
Jeff Mines,5.0 out of 5 stars,I already own the Bose QC35 so this was a whim purchase. I was attracted to the favorable YouTube reviews. I do not think the Noise Cancelling on the XM5 is any better than the Bose QC35’S but definitely not worse.,Verified Purchase,,"Reviewed in the United States on December 2, 2022"
elvin,5.0 out of 5 stars,I bought these headphones used and for a greatly discounted price and i have to say they worked and looked brand new when i got them and they definitely were worth the price i paid. I love my new headphones.,Verified Purchase,,"Reviewed in the United States on December 4, 2022"
Fernando B,5.0 out of 5 stars,"I’m an apple person but I HATE the fact they cancelled the jack port, that’s one of the biggest reasons I got this Sony headphones. I play PS5 and Switch and I need a jack port.
The noise cancelling is GREAT, I hate noisy flights, I tried them first time and they are GOOD, I listened to music and watched Netflix shows and everything was perfect.
For calls is great, you can control.everything with your right hand, sometimes the headphones unpaired with my job laptop (windows, I don't know if this is related to the operating system.
Audio quality is beyond my expectations, I could hear my favorite and realized there were instruments I never heard.
So far I have a great experience with the headphones.",Verified Purchase,2 people found this helpful,"Reviewed in the United States on September 7, 2022"
Seán C McCord,5.0 out of 5 stars,"Years ago, I foreswore Sony products because of their poor reliability, ridiculously proprietary nature, and bad service and support.
While this product still has stupid proprietary bits (mainly in software), they can be safely ignored, and the device seems to work well with both my Android phone and my Linux computers.
The headphones themselves are comfortable, have good battery life, and have much better noise cancellation with enormously more useful features than my old Bose Quiet Comfort 35s.",Verified Purchase,,"Reviewed in the United States on November 8, 2022"
Chris Pineo,3.0 out of 5 stars,"These weren't bad but I returned them because they weren't better than what I already have.
The pics look better than the item. They don't look bad but they aren't great either. They feel a little cheap but seem durable enough.
Comfort was OK but the lack of padding on the headband and ear cups was disappointing and caused a bit of discomfort.
NC was really good as always. Sony has the lead in that category.
Sound was better at default settings than the XM4 but I have several options I prefer such as the Shure Aonic 50 (good out of the box with a class leading EQ) and the AirPods Max (I really like their sound signature but it isn't for everyone). The bass is a bit overwhelming and overrides the mids and highs (but not as much as the XM4). The EQ in Sony's class leading app improves the sound (for an easy adjustment I recommend ""bright"" then adfjust to taste if needed) but not to the level of the other two options. To be fair if you like the Sony XM sound you'll like these as it's an improved version of it.
This is a good product but it wasn't for me only because I have at least two better options.",Verified Purchase,,"Reviewed in the United States on August 22, 2022"
David R.,4.0 out of 5 stars,I love these. I had the Bose QC II and needed the upgrade. I am an all Mac person. The only issue I have it they don’t work well with Teams for MacOS. It’s probably Microsoft’s fault.,Verified Purchase,,"Reviewed in the United States on September 24, 2022"
Gary L,4.0 out of 5 stars,"You can not go wrong with either one of these. I really wanted these to be better than the AirPods Max, but they're not. I own both AirPods Max and the older Sony 1000XM3s and both of these headsets have their strengths. I was hoping that with all the hype the 1000XM5s would be substantially better than the AirPods Max.
The biggest complaint is that when touching the ear cup on the Sonys you can easily hear it, the same action on the AirPod Max is minimal.
Both headsets have excellent audio, with the Max edging out the XM5s.
Controls -XM5 wins
Comfort - I prefer the Max but it is more an individual choice.
Case - XM5
Ease of use - Max
Noise Cancelling - Tie",Verified Purchase,One person found this helpful,"Reviewed in the United States on May 30, 2022"
Joyinbama2,3.0 out of 5 stars,I love the Sony WF-1000xm4 so I was excited for the updated version. They sound great but I think the noise cancellation option is better on the xm4.,Verified Purchase,,"Reviewed in the United States on January 31, 2023"
Leo,3.0 out of 5 stars,It makes my ears hurt after wearing it for more than 1hour. I wish it provides options for different ear size by providing different size earpads. The rest are ok.,Verified Purchase,,"Reviewed in the United States on January 28, 2023"
henry thumann,3.0 out of 5 stars,I've gotten Bose always but all the reviews said this one. The Sony aren't that great. I returned it and love the Bose. It's perfect. Don't buy the Sony. They're very cheap feeling and shouldn't be in yhe same class as the Bose.,Verified Purchase,One person found this helpful,"Reviewed in the United States on January 16, 2023"
Daryl S. Shaw,5.0 out of 5 stars,"I went from living in my own quiet house to an old apartment building with 10 units. Blocks all the sounds from loud cars, loud music (in cars right outside my window), Loud talking and walking neighbors. Links perfectly via Bluetooth to my tablet for Spotify and streaming TV. Couldn't be happier. Saved my sanity!",Verified Purchase,,"Reviewed in the United States on November 22, 2022"
CD066,5.0 out of 5 stars,"Previously I had the 700 version of noise canx headphones. I used them for a little over 2 years and suprisingly they still work just fine. The problem with them is the foam around the ears has fallen apart and crumbles when I put them on. Also the pad at the middle for your scalp has crumbled into a mess - So I decided to purchase something new.
These headphones are lighter, are a lighter fit on my ears. They seem to be pretty decent overall - sound is good, noise canx is good. The only thing I really want is a toggle switch to go forward or backward on songs or audible. That's the only point I don't like. You can program the two buttons to do whatever you want but I have found the process of assigning a function to a number of button touches to be tedious and kind of stupid. Bad Sony - I want my toggle switch back.",Verified Purchase,One person found this helpful,"Reviewed in the United States on July 14, 2022"
Jay,4.0 out of 5 stars,"I have had a previous version of these earphones which I physically damaged. The new version has more features, which is good and bad. It works quite well but has the a ""feature"" which causes it to disconnect occasionally,, usually when I am using them during an iphone call. It has an iphone app to programs it which is a little bewildering to and old electronics guy from the analog age. That being said, the quality of the earphones and microphone are quite good.",Verified Purchase,One person found this helpful,"Reviewed in the United States on July 19, 2022"
Michael,3.0 out of 5 stars,"They're too bulky. The case is huge, and the headphones don't fold in, so they take up lots of room. I liked these headphones a lot, but within the first month of use the right ear started playing little crackly sounds that were louder than the music. Very annoying. The SONY app and bluetooth do not connect as easily as my airpods, which I also found annoying. Seamless pairing is important for me, and these do not match up. The app's interface is outdated and difficult to navigate as well. I'm disappointed, because I wanted to like these because they're better than AirPod Maxes. Ordering Beats instead.",Verified Purchase,,"Reviewed in the United States on November 30, 2022"
OGRnB,5.0 out of 5 stars,These are a great pair of headphones that have incredible noises canceling. The base on these are not the best. An equalizer is recommended if you plan on making these your daily driver for listening to music.,Verified Purchase,,"Reviewed in the United States on November 29, 2022"
matthew ridley,3.0 out of 5 stars,My gym buddies love the xm4 so I bought these when on sale. We compared them and I am shocked to say quality has gone down. Also the xm4 are way comfier,Verified Purchase,,"Reviewed in the United States on January 17, 2023"
Dustin,3.0 out of 5 stars,"Sprang for these because they were repeatedly rated highly, especially the noise cancellation. Noise cancellation is not as good as my bose earbuds or apple airpods pro. Plus it created a weird sensation and noise that made me physically sick. I suppose the sound quality was fine. Build quality not impressive at all. Feel really cheap but I suppose that is because they are light.",Verified Purchase,,"Reviewed in the United States on December 28, 2022"
Richard N. Barg,3.0 out of 5 stars,"I own the XM4s and Bose QC-35s. First, it should be said the XM4s are superior to the Bose QC-35s in comfort, sound and ANC. I only use the Bose in bad weather because it has manual buttons.
The design of the XM5 is a radical departure. Sony opted to provide less padding between the the headband and the top of the head. For sensitive users, like myself, there is a feeling of a bump on the top of the head which is annoying. These headphones also fit tighter, i.e., more clamping pressure.
Simply put, to this user, they are noticeably less comfortable as the XM4s to wear. Overall I was very satsified with my XM4s, but I received a unit where the auto-shutoff did not work and therefore tried the newer XM5s. With the XM5s, I was constantly fiddling with them to get the elusive comfortable feel. With the XM4s, I just put them on and they fit like a glove.
The XM5s are better than the XM4s in many other ways (8 microphones etc), but for me, comfort is king, something I won't compromise on. Sony copied the non-folding style of the Bose 700s. If it ain't broke, don't fix it. In my view this new design is an an unforced error, but I'm clearly in the minority with this viewpoint.",Verified Purchase,4 people found this helpful,"Reviewed in the United States on June 22, 2022"
Mr. F,2.0 out of 5 stars,"Very disappointed to find that neither Sonys top televisions nor Sonys ps5 are natively compatible with these… you’ll need to expect to have to make a separate purchase for wireless dongle(s) for anything other than your cell phone or laptop… alternatively you can wire the wireless headphones, but from my experience, they lose all sound quality when wired direct (ps5 3.5mm)… so if you think you may watch / play ps5 at night while the Mrs is sleeping, what you’ll get is a wire to the ps5 remote and mono-stereo sound… in other words, when using with a ps5 or Sonys top 80/90 series oLED TVs… they’re about as good as a $5.00 pair of headphones from the dollar store… when paired to a phone / laptop they’re excellent… but imo, they’re way way way WAAAAAAYYYYYY overpriced to not be compatible with top end Sony products…. (This is confirmed even after firmware updates etc.)
**edit**
Also not compatible with Sony Bluetooth sound bar
Also not compatible with low latency dongle
(FYI previous versions were low latency codec)
Also lacks any IP rating, if you wear these in sunlight and get sweaty, kiss them goodbye",Verified Purchase,,"Reviewed in the United States on February 10, 2023"
MT,5.0 out of 5 stars,"You can hear instruments that were there all along, but are now distinguishable. The noise cancelling is good. The manual could use some work for sure, but be aware of the following functions:
Touch the right headphone side (which is a touch panel) in the following manner:
Swipe from bottom to top: Increase volume - hold to keep increasing until its where you want it
Swipe from top to bottom: Decrease volume - hold to keep decreasing until its where you want it
Try a two finger tap, or a two finger hold.. the headphones will tell you what it does
Things like that. Don't have much time to write this review, but play around with it.",Verified Purchase,One person found this helpful,"Reviewed in the United States on September 5, 2022"
Rebin,3.0 out of 5 stars,"This device is absolutely overrated, its not worth even half the money. The one and only good thing about this Sony headset is just the design, its esthetic. Other than that, the sound quality is not even half of what you get with an airpods pro, big sound leakage, noise cancellation is also similar to airpods pro. I just expected something better for a headset worth almost $400! Thats a of money.
Definitely reconsider your purchase.",Verified Purchase,One person found this helpful,"Reviewed in the United States on December 14, 2022"
tuckabaret,5.0 out of 5 stars,"The sound quality and build quality are wonderful. The noise cancellation is 100% best-in-show. The microphone is much improved over previous models. Absolutely worth the money.
The only thing is that while I love the feel of the outside of the ear cups (where you control things like volume), they smudge pretty easily. I don’t think I have very oily skin, but I still find myself wiping off fingerprints from the outside and oil from the foam pads after taking them off, almost every time. I guess this is a very small complaint and maybe I’m just oilier than I like to think, but still, I never had this issue with previous models or any other headphones.",Verified Purchase,,"Reviewed in the United States on September 4, 2022"
K. Demouchet,3.0 out of 5 stars,"it looks great, sounds really welll justr needs an eq balance. so it handles flat very well. the balck is a grease and fluid stainer, but it wipes easily. i bought these as a return to sony headphones since the Sony MDR-XD100 loved those headphones. after finally letting my skull candy hesh 2 finally rest. love the dual connnectivity the app sint much better. since spotify only :service: i can quick tap. prefer tdal or youtube, but what ever. Anyways, less than a week the anc stops working. i get better anc from it off than on.
It feels like the anc pressure is too strong, but not cancelling anything. For that reason i have to lower the score on it, because that is a noticeable problem. other than that i love them.
nice minimalist design. good rotation and flexibity of headphones placement. mic is excellent for calls. Everyone says i sound clear and it picks up so much. The ANC is what brings this down for me. if not it would be a 4 or 5 star more 4 cause the app does still hold this back like the whole xm series.
Aso, Sony get better names for this stuff. saying a;; that stuff is confusing and nnot cool.",Verified Purchase,,"Reviewed in the United States on July 31, 2022"
Bitmac,5.0 out of 5 stars,"El sonido y la cancelan uno de ruido son excelente te sientes aislado , si hay un ruido contante en el ambiente donde están no podrás notarlo porque los auriculares se encargan de desaparécelo mi única iría es que después de barias horas usándolos puede llegar a molestar en las orejas en mi caso.",Verified Purchase,,"Reviewed in the United States on November 15, 2022"
Amazon Customer,4.0 out of 5 stars,This review is for the person that wants loud with bass music. It’s just not there.. however the headphone are great. It’s just not my style.,Verified Purchase,One person found this helpful,"Reviewed in the United States on September 16, 2022"
ToastersMakeTea,5.0 out of 5 stars,"Continues on a bit of a muddy sound like the previous models, however the noise cancelling is superb and EQ options such as the custom Wavelet profile from soundguys make this an incredible all around headphone.
Edit: After owning this for a few days I've noticed some issues. Clicking on left channel when I move my head, ANC clipping occasionally when in a loud vehicle, and pads seem to wear in more quickly than other headphones. I still am impressed by the otherwise excellent performance, however i am getting an exchange and will update again soon.
Edit 2: Replacement unit has no audible issues. However i have noticed that after a very short amount of time the pads deform permanently. This is likely due to the (probably) low density foam used, and could be detrimental to sound quality in the long term.
Edit 3: Accidentally put a little too much force when squeezing these into a bag, the bracket held to the band by a single screw and some adhesive kinda just fell apart. Pushed it back together but there's a small gap there now. Maybe this headband isn't so well built.
Edit 4: Returned under RMA. ANC clips too easily and the build is not good enough to use long term. I'm now back on the old AKG N700ncm2.",Verified Purchase,139 people found this helpful,"Reviewed in the United States on May 20, 2022"
Warren,5.0 out of 5 stars,Much better sounding than my Airpod Max. It's also very comfortable to wear and my ears don't sweat.,Verified Purchase,,"Reviewed in the United States on December 9, 2022"
Ryan P.,3.0 out of 5 stars,"These headphones are only slightly more comfortable than the XM4, however they tend to let sound in and come off my ears when I moved my head around. I have a relatively large head so that may not be an issue for you. The foam padding could definitely be a bit denser as it does deform easily.
My biggest problem was that they had issues connecting to my Bluetooth receiver I bought for my TV. I frequently had to turn them on, then off, then back on. This may be fixed further down the road with a software update.
I will say the sound is cleaner than the XM4 and sounds a bit more natural and well rounded somehow. I am not an expert on audio but it definitely sounds a tad bit cleaner. I had to get used to the XM4s sound profile again when I ended up returning these but they are still a great headset.
I think these could be 5 star with some better earpads and some software updates, especially if you dig the cleaner less bassy sound profile. The XM4s still sound pretty good, and I would not recommend upgrading to these right now at this price point.",Verified Purchase,One person found this helpful,"Reviewed in the United States on July 23, 2022"
Jin Kim,5.0 out of 5 stars,"I’ve had Beats, Bose, Apple and now the Sony. I gotta say these are the best noice cancelling overhead headphones. They are the most comfortable headphones I’ve had and the sound quality is top notch.",Verified Purchase,,"Reviewed in the United States on November 27, 2022"
Onur Baykal,5.0 out of 5 stars,"The design changes, overall comfort (including level of head pressure) and potability have all been significantly improved. I actually disagree with many of the editors reviews, it's much better that it doesn't fold twice, the case is much thinner to transport. This also helps make the headphones much more durable overall.
In terms of the previous generation model, put quite simply, sound quality is more in line with a neutral profile sounding acoustically tuned pair of reference headphones. Noise cancelling and transparency modes are a night and day difference with respect to the 1000XM4s, but both are still excellent pairs of headphones. The improvements here are well justified for an upgrade. Also the sound profile of the previous generation WH-1000XM4s can be easily restored by using the ""excited"" EQ setting in the companion app settings.
Those carbon fiber dual drivers, 8 noise canceling mics and custom audio co-processor Sony keeps referring to in the marketing materials, are genuinely significant. If you're coming from the previous generation model, the differences are immediately noticable.
The price has increased but considering there's a chip shortage and they improved literally all the right aspects of this new pair. It's justified.
Well done Sony. And for all those purchasing, enjoy them, they're industry leading for a reason.",Verified Purchase,91 people found this helpful,"Reviewed in the United States on May 20, 2022"
None,5.0 out of 5 stars,The quality is really good. I’m in love with it,Verified Purchase,,"Reviewed in the United States on December 14, 2022"
Paul B,5.0 out of 5 stars,My tractor is loud so I use the noise canceling so I can enjoy music while I work and protect my hearing. The headsets do a pretty decent job with this. Some of the noise can still be heard but it is reduced as much as can reasonably be expected. I also have them paired to my phone. I could not believe how well they worked for this. I can continue reving my tractor engine and working in a very loud environment and people on the other end say they can't hear it at all. The conversation as good as if I were sitting in a quiet room. I expected some noise to be blocked but would have never believed the microphones could clearly pickup my voice while eliminating all tractor noise so the person on the other end can't detect it at all. Overall I love these headphones. They are not cheap but the performance is well worth the cost.,Verified Purchase,One person found this helpful,"Reviewed in the United States on July 8, 2022"
Tasneem Sharmeen,5.0 out of 5 stars,Unmatched noise cancellation. Ease of use. Works well with the app. I had meetings while there was a construction going on behind me but my coworkers claimed to hear nothing so I am guessing the mic filters out background noise pretty well.,Verified Purchase,,"Reviewed in the United States on November 20, 2022"
Wesley Lagenour,5.0 out of 5 stars,"These headphones are the greatest listening experience for all forms of media. When listening to music, I use loseless audio with the XM5s and it’s really like being in your own world. I will always recommend these headphones to anyone that will listen.",Verified Purchase,,"Reviewed in the United States on November 20, 2022"
Daniel R. Vargas,3.0 out of 5 stars,"I don’t notice any exceptional sound quality with these headphones (to my disappointment). However, I do have an aggravating problem with the headphones cutting out while listening. The headphones cut out an average of every 10 or 15 minutes, which kind of ruins the whole listening experience.",Verified Purchase,,"Reviewed in the United States on December 30, 2022"
Renan,3.0 out of 5 stars,Just get a cheaper version or wait for this to reduce in price. Very much not worth the price,Verified Purchase,,"Reviewed in the United States on January 19, 2023"
Bubs,4.0 out of 5 stars,"Audio quality is strong. Noise cancellation quality is strong, mic clarity is improved, all of this is quite well known.
Several flaws in usability makes the experience a bit deceptive:
-You cannot charge while in a call, if battery run out, your out. big issue in call.
-Sound notification (on, off, pairing, connected), are so random, you don't know what's happening, and what's the status. Should have a speech ""you are connected"", ""you are disconnecte"" ... many competitor have it.
-Pairing is not super smooth or reliable
... Still sound quality is great",Verified Purchase,One person found this helpful,"Reviewed in the United States on June 22, 2022"
Jaden Jackson,5.0 out of 5 stars,The headphone audio quality is amazing. The different EQ’s (Super Base) are great. They fit great and the battery lasts forever. Lasted through my 8 hour shift. Through sweat & wind then noise cancellation held and the music was clear,Verified Purchase,One person found this helpful,"Reviewed in the United States on November 20, 2022"
Matt LP,3.0 out of 5 stars,Wanted to upgrade but A/B testing still had my 1000XM2’s feeling and sounding better then these. Wish I could move on to having USB C but oh well.,Verified Purchase,,"Reviewed in the United States on January 4, 2023"
Brian,5.0 out of 5 stars,"Phenomenal comfort and quality. It seems like I buy a new pair of headphones every year from earbuds to over the ear. These are by far my favorite. The customization tools available when you por with the app are awesome and the quick toggle for ambient/NC is awesome. I’ve started using these for zoom meetings and phone calls and it is amazing. They do such a good job at eliminating background noise for the person on the other end. I’ve been in crowded airports, even in a bowling alley and the person on the other end said it was crystal clear and seemed like I was just in a quiet room.",Verified Purchase,,"Reviewed in the United States on September 3, 2022"
Ray Morin,5.0 out of 5 stars,I bought these to use when we walk inside the local mall during the very hot days of summer. They have exceeded my expectations in every way. Many days the mall noise is uncomfortable without some ANC. These are the best I have ever used for ANC. The sound quality is outstanding to my ears and I listen to a lot of classical music where it is easy to notice any performance issues. All of the controls work just as they should. I sometimes wear them for several hours at a time and they are quite comfortable. Calls are easy and always clear. I also own the Sony WF1000XM4 set and when wearing headphones is appropriate I usually choose the headphones over the also excellent XM4 set. Bluetooth just works perfectly with my phone and windows computer. No hassles ever. Music is important to me and these make it more enjoyable.,Verified Purchase,,"Reviewed in the United States on June 15, 2022"
EYE EYE KAPITAN!,5.0 out of 5 stars,Less comfortable than previous models - but has higher performance. You just have to adjust on top of your head so they won't get painful after some time.,Verified Purchase,,"Reviewed in the United States on November 30, 2022"
The Bibliophile,3.0 out of 5 stars,"I had bought the
Sony WH-1000XM4 but returned them because the voice calling was very poor. I bought the
Sony WH-1000XM5 because I had figured it would be better, but I was wrong. The voice calling is consistently poor. Callers report hearing me from far away and crackling sound, just like the other Sony model
Sony WH-1000XM4. I really wanted to keep these because the sound is AMAZING. The best I’ve heard so far but to use them to talk, the quality is poor. I’m on the road a lot and it didn’t matter if I was in my car, house or yard the voice calling was consistently poor. I am returning these today.",Verified Purchase,,"Reviewed in the United States on November 5, 2022"
Sean N.,4.0 out of 5 stars,"Very high quality, but I was hoping for even more bass and voice cancelling. They’re still great, but not a wonder product.",Verified Purchase,,"Reviewed in the United States on September 14, 2022"
